epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
21,2020-05-22,45,AM,Presidente Figueiredo,1303536,city,313,862.75807,11,12,1,0.0383,36279,False,False
21,2020-05-22,31,AM,Rio Preto da Eva,1303569,city,421,1262.48238,9,8,0,0.019,33347,False,False
21,2020-05-22,35,AM,Santa Isabel do Rio Negro,1303601,city,24,95.40467,10,1,0,0.0417,25156,False,False
21,2020-05-22,58,AM,Santo Antônio do Içá,1303700,city,582,2694.19498,38,9,0,0.0155,21602,False,False
21,2020-05-22,47,AM,São Gabriel da Cachoeira,1303809,city,577,1266.35063,61,17,2,0.0295,45564,False,False
21,2020-05-22,46,AM,São Paulo de Olivença,1303908,city,328,834.62684,4,8,1,0.0244,39299,False,False
21,2020-05-22,28,AM,São Sebastião do Uatumã,1303957,city,31,221.1127,0,0,0,0.0,14020,False,False
21,2020-05-22,29,AM,Silves,1304005,city,102,1112.2015,7,3,0,0.0294,9171,False,False
21,2020-05-22,45,AM,Tabatinga,1304062,city,613,930.9884,24,48,1,0.0783,65844,False,False
21,2020-05-22,29,AM,Tapauá,1304104,city,236,1375.61203,19,3,0,0.0127,17156,False,False
21,2020-05-22,43,AM,Tefé,1304203,city,1160,1938.21116,123,46,1,0.0397,59849,False,False
21,2020-05-22,51,AM,Tonantins,1304237,city,130,693.14849,0,9,0,0.0692,18755,False,False
21,2020-05-22,8,AM,Uarini,1304260,city,26,192.02363,5,0,0,0.0,13540,False,False
21,2020-05-22,28,AM,Urucará,1304302,city,128,787.40157,10,2,0,0.0156,16256,False,False
21,2020-05-22,27,AM,Urucurituba,1304401,city,53,229.78539,5,1,0,0.0189,23065,False,False
21,2020-05-22,71,AM,,13,state,27038,652.36741,1671,1669,49,0.0617,4144597,False,False
21,2020-05-21,18,AM,Alvarães,1300029,city,33,205.72284,10,3,0,0.0909,16041,False,False
21,2020-05-21,28,AM,Amaturá,1300060,city,183,1586.33842,3,6,1,0.0328,11536,False,False
21,2020-05-21,38,AM,Anamã,1300086,city,82,602.32114,6,0,0,0.0,13614,False,False
21,2020-05-21,54,AM,Anori,1300102,city,187,890.05236,11,3,0,0.016,21010,False,False
21,2020-05-21,14,AM,Apuí,1300144,city,22,100.12288,2,0,0,0.0,21973,False,False
21,2020-05-21,22,AM,Atalaia do Norte,1300201,city,4,20.07931,0,0,0,0.0,19921,False,False
21,2020-05-21,32,AM,Autazes,1300300,city,357,902.31265,36,22,0,0.0616,39565,False,False
21,2020-05-21,30,AM,Barcelos,1300409,city,212,770.85303,25,7,0,0.033,27502,False,False
21,2020-05-21,20,AM,Barreirinha,1300508,city,134,418.21416,12,2,0,0.0149,32041,False,False
21,2020-05-21,30,AM,Benjamin Constant,1300607,city,356,828.21515,124,15,3,0.0421,42984,False,False
21,2020-05-21,31,AM,Beruri,1300631,city,139,706.3367,5,5,0,0.036,19679,False,False
21,2020-05-21,19,AM,Boa Vista do Ramos,1300680,city,49,255.11532,3,1,0,0.0204,19207,False,False
21,2020-05-21,57,AM,Boca do Acre,1300706,city,242,705.37484,7,2,0,0.0083,34308,False,False
21,2020-05-21,25,AM,Borba,1300805,city,172,417.87129,27,9,0,0.0523,41161,False,False
21,2020-05-21,28,AM,Caapiranga,1300839,city,55,420.45715,12,1,0,0.0182,13081,False,False
21,2020-05-21,33,AM,Canutama,1300904,city,25,159.95905,0,0,0,0.0,15629,False,False
21,2020-05-21,36,AM,Carauari,1301001,city,171,604.36842,0,2,0,0.0117,28294,False,False
21,2020-05-21,41,AM,Careiro,1301100,city,418,1103.80522,0,6,0,0.0144,37869,False,False
21,2020-05-21,52,AM,Careiro da Várzea,1301159,city,42,138.95782,0,1,0,0.0238,30225,False,False
21,2020-05-21,35,AM,Coari,1301209,city,923,1084.64458,24,37,1,0.0401,85097,False,False
21,2020-05-21,28,AM,Codajás,1301308,city,36,125.71149,13,1,0,0.0278,28637,False,False
21,2020-05-21,21,AM,Eirunepé,1301407,city,50,141.75148,4,0,0,0.0,35273,False,False
21,2020-05-21,28,AM,Fonte Boa,1301605,city,125,709.86427,8,5,0,0.04,17609,False,False
21,2020-05-21,8,AM,Guajará,1301654,city,13,77.947,1,1,1,0.0769,16678,False,False
21,2020-05-21,26,AM,Humaitá,1301704,city,34,61.7284,1,1,0,0.0294,55080,False,False
21,2020-05-21,47,AM,Iranduba,1301852,city,388,803.37916,9,23,0,0.0593,48296,False,False
21,2020-05-21,54,AM,Itacoatiara,1301902,city,497,490.44278,54,38,3,0.0765,101337,False,False
21,2020-05-21,9,AM,Itamarati,1301951,city,4,50.94892,2,0,0,0.0,7851,False,False
21,2020-05-21,26,AM,Itapiranga,1302009,city,203,2219.06428,0,3,0,0.0148,9148,False,False
21,2020-05-21,11,AM,Japurá,1302108,city,17,617.05989,4,0,0,0.0,2755,False,False
21,2020-05-21,33,AM,Juruá,1302207,city,5,33.98586,0,0,0,0.0,14712,False,False
21,2020-05-21,46,AM,Jutaí,1302306,city,59,412.09751,1,6,1,0.1017,14317,False,False
21,2020-05-21,38,AM,Lábrea,1302405,city,38,82.48497,4,0,0,0.0,46069,False,False
21,2020-05-21,56,AM,Manacapuru,1302504,city,1703,1748.87294,101,76,5,0.0446,97377,False,False
21,2020-05-21,29,AM,Manaquiri,1302553,city,84,261.64149,2,6,0,0.0714,32105,False,False
21,2020-05-21,70,AM,Manaus,1302603,city,12317,564.28481,674,1094,37,0.0888,2182763,False,False
21,2020-05-21,44,AM,Manicoré,1302702,city,36,64.57283,5,2,0,0.0556,55751,False,False
21,2020-05-21,30,AM,Maraã,1302801,city,62,340.21071,1,1,0,0.0161,18224,False,False
21,2020-05-21,42,AM,Maués,1302900,city,402,629.05876,57,23,0,0.0572,63905,False,False
21,2020-05-21,29,AM,Nhamundá,1303007,city,36,170.02787,2,1,0,0.0278,21173,False,False
21,2020-05-21,30,AM,Nova Olinda do Norte,1303106,city,62,165.87297,5,3,0,0.0484,37378,False,False
21,2020-05-21,53,AM,Novo Airão,1303205,city,83,426.64748,9,4,0,0.0482,19454,False,False
21,2020-05-21,28,AM,Novo Aripuanã,1303304,city,110,428.95024,13,4,1,0.0364,25644,False,False
21,2020-05-21,61,AM,Parintins,1303403,city,794,694.8273,44,45,3,0.0567,114273,False,False
21,2020-05-21,12,AM,Pauini,1303502,city,5,25.7387,0,0,0,0.0,19426,False,False
21,2020-05-21,44,AM,Presidente Figueiredo,1303536,city,302,832.4375,19,11,0,0.0364,36279,False,False
